Filename             = m851_079.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 807
Profile              = 79
WaterDepth           = 3366
Date                 = 2011/07/21
Time                 = 14:43
Latitude             = 54 50.25 N
Longitude            = 043 27.46 W
Columns              = p:t:pt:s:sth:o
 239.0  4.1675  4.1504 34.8257 27.6317  6.523
 240.0  4.1714  4.1542 34.8272 27.6325  6.458
 241.0  4.1853  4.1680 34.8295 27.6329  6.419
 242.0  4.1957  4.1783 34.8313 27.6331  6.412
 243.0  4.1879  4.1704 34.8308 27.6336  6.413
 244.0  4.1839  4.1663 34.8319 27.6349  6.411
 245.0  4.1950  4.1774 34.8344 27.6357  6.411
 246.0  4.2030  4.1853 34.8354 27.6357  6.416
 247.0  4.1970  4.1792 34.8351 27.6361  6.418
 248.0  4.1872  4.1694 34.8349 27.6370  6.410
 249.0  4.1789  4.1610 34.8344 27.6375  6.406
 250.0  4.1721  4.1541 34.8337 27.6377  6.412
 251.0  4.1692  4.1512 34.8335 27.6378  6.418
 252.0  4.1665  4.1484 34.8331 27.6378  6.425
 253.0  4.1613  4.1431 34.8324 27.6378  6.437
 254.0  4.1569  4.1387 34.8320 27.6380  6.445
 255.0  4.1555  4.1372 34.8319 27.6380  6.449
 256.0  4.1521  4.1337 34.8319 27.6384  6.451
 257.0  4.1442  4.1257 34.8313 27.6388  6.455
 258.0  4.1316  4.1131 34.8301 27.6391  6.457
 259.0  4.1167  4.0982 34.8295 27.6402  6.457
 260.0  4.1235  4.1049 34.8330 27.6423  6.465
 261.0  4.1670  4.1482 34.8414 27.6444  6.486
 262.0  4.1973  4.1784 34.8470 27.6457  6.504
 263.0  4.2012  4.1822 34.8501 27.6477  6.492
 264.0  4.1989  4.1798 34.8515 27.6491  6.454
 265.0  4.1767  4.1576 34.8473 27.6481  6.422
 266.0  4.1329  4.1138 34.8446 27.6506  6.408
 267.0  4.1168  4.0977 34.8456 27.6531  6.402
 268.0  4.1240  4.1048 34.8457 27.6524  6.425
 269.0  4.1236  4.1043 34.8455 27.6523  6.467
 270.0  4.1211  4.1018 34.8452 27.6523  6.486
 271.0  4.1191  4.0997 34.8451 27.6525  6.485
 272.0  4.1168  4.0973 34.8449 27.6526  6.478
 273.0  4.1111  4.0916 34.8441 27.6525  6.471
 274.0  4.0984  4.0788 34.8423 27.6524  6.474
 275.0  4.0777  4.0581 34.8403 27.6531  6.486
 276.0  4.0523  4.0327 34.8375 27.6535  6.500
 277.0  4.0229  4.0032 34.8331 27.6531  6.518
 278.0  3.9612  3.9416 34.8256 27.6535  6.539
 279.0  3.9102  3.8907 34.8210 27.6552  6.556
 280.0  3.9065  3.8869 34.8217 27.6561  6.579
 281.0  3.9047  3.8850 34.8203 27.6552  6.630
 282.0  3.8522  3.8326 34.8124 27.6543  6.692
 283.0  3.7645  3.7450 34.8025 27.6553  6.718
 284.0  3.6953  3.6759 34.7969 27.6578  6.724
 285.0  3.6680  3.6486 34.7946 27.6587  6.751
 286.0  3.6688  3.6493 34.7941 27.6583  6.807
 287.0  3.6697  3.6502 34.7937 27.6578  6.874
 288.0  3.6719  3.6523 34.7935 27.6575  6.918
 289.0  3.6745  3.6548 34.7936 27.6573  6.930
 290.0  3.6756  3.6559 34.7937 27.6573  6.929
 291.0  3.6804  3.6606 34.7944 27.6574  6.923
 292.0  3.6846  3.6647 34.7949 27.6573  6.920
 293.0  3.6904  3.6704 34.7958 27.6575  6.921
