Filename             = m851_018.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 711
Profile              = 18
WaterDepth           = 3385
Date                 = 2011/06/30
Time                 = 20:23
Latitude             = 47 37.13 N
Longitude            = 029 53.86 W
Columns              = p:t:pt:s:sth:o
 386.0 10.6198 10.5727 35.3873 27.1542  4.775
 387.0 10.5702 10.5230 35.3721 27.1513  4.697
 388.0 10.5397 10.4925 35.3611 27.1480  4.666
 389.0 10.5272 10.4799 35.3564 27.1466  4.661
 390.0 10.5210 10.4736 35.3554 27.1469  4.661
 391.0 10.5151 10.4677 35.3550 27.1477  4.651
 392.0 10.5164 10.4688 35.3554 27.1478  4.632
 393.0 10.5152 10.4675 35.3567 27.1491  4.621
 394.0 10.5099 10.4620 35.3574 27.1506  4.611
 395.0 10.5044 10.4565 35.3568 27.1511  4.595
 396.0 10.5002 10.4522 35.3558 27.1510  4.578
 397.0 10.4965 10.4483 35.3551 27.1512  4.562
 398.0 10.4911 10.4428 35.3544 27.1516  4.552
 399.0 10.4823 10.4339 35.3538 27.1527  4.550
 400.0 10.4711 10.4226 35.3537 27.1547  4.552
 401.0 10.4531 10.4046 35.3545 27.1584  4.551
 402.0 10.4100 10.3615 35.3536 27.1653  4.549
 403.0 10.3577 10.3092 35.3438 27.1668  4.543
 404.0 10.3201 10.2715 35.3334 27.1653  4.523
 405.0 10.2915 10.2429 35.3293 27.1671  4.504
 406.0 10.2593 10.2108 35.3263 27.1704  4.497
 407.0 10.2313 10.1827 35.3202 27.1705  4.490
 408.0 10.2217 10.1730 35.3130 27.1666  4.474
 409.0 10.2182 10.1694 35.3113 27.1659  4.457
 410.0 10.2143 10.1654 35.3110 27.1664  4.449
 411.0 10.2110 10.1620 35.3103 27.1664  4.446
 412.0 10.2053 10.1562 35.3097 27.1669  4.444
 413.0 10.1960 10.1468 35.3082 27.1674  4.445
 414.0 10.1898 10.1405 35.3059 27.1667  4.447
 415.0 10.1864 10.1369 35.3064 27.1677  4.447
 416.0 10.1756 10.1261 35.3061 27.1693  4.445
 417.0 10.1631 10.1135 35.3038 27.1697  4.442
 418.0 10.1454 10.0957 35.3030 27.1721  4.442
 419.0 10.1116 10.0619 35.3001 27.1757  4.439
 420.0 10.0825 10.0328 35.2939 27.1759  4.430
 421.0 10.0591 10.0094 35.2928 27.1791  4.418
 422.0 10.0308  9.9810 35.2899 27.1817  4.403
 423.0 10.0135  9.9636 35.2839 27.1800  4.385
 424.0  9.9879  9.9380 35.2812 27.1823  4.368
 425.0  9.9574  9.9075 35.2769 27.1842  4.354
 426.0  9.9469  9.8969 35.2729 27.1829  4.344
 427.0  9.9376  9.8875 35.2733 27.1848  4.338
 428.0  9.9258  9.8756 35.2743 27.1876  4.333
 429.0  9.9179  9.8677 35.2735 27.1883  4.325
 430.0  9.9150  9.8646 35.2729 27.1883  4.317
 431.0  9.9119  9.8614 35.2724 27.1885  4.312
 432.0  9.9089  9.8583 35.2719 27.1886  4.308
 433.0  9.9052  9.8544 35.2714 27.1889  4.303
 434.0  9.9004  9.8496 35.2707 27.1892  4.300
 435.0  9.8948  9.8438 35.2702 27.1898  4.303
 436.0  9.8813  9.8303 35.2697 27.1917  4.306
 437.0  9.8580  9.8070 35.2677 27.1941  4.305
 438.0  9.8376  9.7865 35.2645 27.1951  4.300
 439.0  9.8272  9.7760 35.2616 27.1946  4.289
 440.0  9.8206  9.7693 35.2601 27.1946  4.277
 441.0  9.8035  9.7522 35.2594 27.1969  4.272
 442.0  9.7738  9.7224 35.2568 27.2000  4.270
 443.0  9.7501  9.6987 35.2527 27.2007  4.266
 444.0  9.7394  9.6879 35.2495 27.2001  4.260
 445.0  9.7307  9.6791 35.2481 27.2004  4.254
 446.0  9.7180  9.6664 35.2466 27.2014  4.247
 447.0  9.7077  9.6559 35.2449 27.2018  4.241
 448.0  9.7001  9.6482 35.2438 27.2023  4.238
 449.0  9.6936  9.6417 35.2428 27.2026  4.234
 450.0  9.6885  9.6365 35.2420 27.2028  4.232
 451.0  9.6811  9.6290 35.2412 27.2035  4.233
 452.0  9.6737  9.6215 35.2400 27.2038  4.232
 453.0  9.6668  9.6144 35.2394 27.2045  4.227
 454.0  9.6529  9.6005 35.2393 27.2067  4.224
 455.0  9.6279  9.5754 35.2379 27.2099  4.223
 456.0  9.6065  9.5540 35.2286 27.2062  4.217
 457.0  9.5934  9.5409 35.2256 27.2061  4.209
 458.0  9.5814  9.5288 35.2304 27.2118  4.198
